#	Datafile	created	in	R																																																				
#cur_yr																																																								
2015																																																								
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																																					
#	of	data	indexing	to	work																																																			
1940																																																								
#endyr																																																								
2018																																																								
#N_data_sets																																																								
1																																																								
#N_yrs_data_sets																																																								
59																																																								
																																																								
#yrs_data																																																								
#Fshry																																																								
1957 1958 1959 1960 1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015		
#Age_st																																																								
2																																																								
#Age_end																																																								
10																																																								
#fishery																																																								
0.0351	0.0641	0.0928	0.1226	0.1559	0.1835	0.2213	0.2496	0.3458
0.0373	0.0622	0.092	0.1212	0.1496	0.1749	0.3006	0.2269	0.4035
0.0451	0.08	0.1013	0.1252	0.1673	0.1889	0.2087	0.2269	0.2991
0.0376	0.061	0.0912	0.1132	0.1457	0.1699	0.2217	0.233	0.2682
0.0451	0.066	0.0901	0.1168	0.1424	0.1699	0.2039	0.2492	0.2486
0.0401	0.0687	0.0909	0.1135	0.1409	0.162	0.1962	0.2291	0.2977
0.0389	0.0719	0.1035	0.1319	0.1518	0.1727	0.2058	0.2293	0.2995
0.0347	0.0617	0.1016	0.1392	0.1575	0.1718	0.1925	0.2119	0.2582
0.0403	0.0642	0.0928	0.1363	0.1686	0.181	0.2057	0.2654	0.2729
0.0433	0.058	0.0992	0.1296	0.1657	0.205	0.2115	0.2002	0.2253
0.0373	0.0627	0.0871	0.1136	0.1366	0.1621	0.1933	0.1986	0.2115
0.0375	0.0591	0.0988	0.1097	0.1445	0.163	0.2005	0.2358	0.267
0.0409	0.0744	0.1105	0.1421	0.1684	0.1948	0.2026	0.2273	0.2475
