
# Datafile created in R 
#cur_yr
2016 
#styr...good idea perhaps to have this started well before data to get cohort effects involved...no fancy indexing to get 1st-year
# of data indexing to work
1960 
#endyr
2018 
#N_data_sets
1 
#N_yrs_data_sets
42
#yrs_data
#Fshry
1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
#Age_st
1 
#Age_end
20 
#fishery
0.1899	0.3216	0.4729	0.5766	0.6598	0.7176	0.7279	0.7539	0.8378	0.8159	0.8814	0.8554	0.9391	0.8744	0.9336	0.9336	0.9336	0.9336	0.9336	0.9336
0.0512	0.2867	0.4843	0.6527	0.6645	0.7469	0.8629	0.8555	0.8802	0.963	0.979	1.0054	1.0494	0.9927	0.9768	0.9768	0.9768	0.9768	0.9768	0.9768
0.0756	0.3583	0.4575	0.6058	0.816	0.7581	0.8488	0.9771	0.9322	0.9176	0.9974	0.989	0.9236	1.125	1.0573	1.0573	1.0573	1.0573	1.0573	1.0573
0.1	0.2551	0.4355	0.5225	0.5885	0.7569	0.6915	0.7469	0.8246	0.7692	0.8887	0.9266	0.7894	0.8414	0.9965	0.9965	0.9965	0.9965	0.9965	0.9965
0.1081	0.2	0.436	0.4807	0.5319	0.6478	0.7068	0.6579	0.7094	0.805	0.8581	0.7715	0.9704	0.8631	0.8959	0.8959	0.8959	0.8959	0.8959	0.8959
0.1162	0.2603	0.4311	0.5086	0.5393	0.5682	0.6336	0.655	0.7027	0.7962	0.8104	0.8109	0.7602	1.1449	0.9678	0.9678	0.9678	0.9678	0.9678	0.9678
0.1324	0.3831	0.4575	0.5341	0.574	0.591	0.5979	0.656	0.6997	0.7259	0.722	0.7753	0.658	0.6399	0.955	0.955	0.955	0.955	0.955	0.955
0.0445	0.2272	0.3776	0.5352	0.553	0.6073	0.6328	0.6475	0.7055	0.7723	0.7627	0.8137	0.8702	0.8008	0.8698	0.8698	0.8698	0.8698	0.8698	0.8698
0.1346	0.244	0.4079	0.563	0.6365	0.6865	0.6818	0.7098	0.7211	0.7488	0.8073	0.8483	0.7755	0.8834	0.8332	0.8332	0.8332	0.8332	0.8332	0.8332
0.0667	0.2448	0.3431	0.4712	0.6371	0.6702	0.6942	0.7463	0.8226	0.7674	0.8139	1.0147	0.8503	0.9582	1.0334	1.0334	1.0334	1.0334	1.0334	1.0334
0.1089	0.2326	0.2918	0.4332	0.5302	0.6582	0.8349	1.0828	1.0276	0.9582	0.8763	0.8524	1.1253	0.72	0.9021	0.9021	0.9021	0.9021	0.9021	0.9021
0.0844	0.2457	0.3219	0.3867	0.5142	0.595	0.6746	0.8534	0.9294	0.978	1.0749	1.0588	1.0279	1.0557	0.9212	0.9212	0.9212	0.9212	0.9212	0.9212
0.129	0.2145	0.3536	0.4094	0.4889	0.6562	0.6907	0.7775	0.9072	0.9633	0.9639	0.9639	0.9889	0.9924	0.9425	0.9425	0.9425	0.9425	0.9425	0.9425
0.1297	0.2874	0.3595	0.4697	0.5104	0.626	0.7165	0.731	0.8313	0.9989	1.0752	1.2303	1.1187	1.0682	1.0545	1.0545	1.0545	1.0545	1.0545	1.0545
0.1028	0.408	0.4686	0.4797	0.5362	0.5741	0.6198	0.659	0.7174	0.695	1.1645	1.015	0.9491	0.9674	1.0579	1.0579	1.0579	1.0579	1.0579	1.0579
0.0759	0.2471	0.3905	0.4445	0.4708	0.5531	0.5948	0.6749	0.6879	0.7179	0.8337	0.9523	1.0185	1.0893	1.2493	1.2493	1.2493	1.2493	1.2493	1.2493
0.1653	0.2439	0.3831	0.4159	0.4406	0.4638	0.5141	0.5164	0.5127	0.648	0.7198	0.5948	0.7756	1.451	1.5802	1.5802	1.5802	1.5802	1.5802	1.5802
#fishery_std
0.01575	0.02987	0.03658	0.06143	0.06306	0.07873	0.08738	0.09678	0.09075	0.097	0.16933	0.15	0.19	0.19555	0.27445	0.27445	0.27445	0.27445	0.27445	0.27445
0.00986	0.02359	0.0499	0.05188	0.06936	0.08038	0.09165	0.12063	0.13335	0.14495	0.16507	0.18066	0.18588	0.19555	0.27445	0.27445	0.27445	0.27445	0.27445	0.27445
0.00855	0.0402	0.04882	0.05902	0.0665	0.07489	0.08272	0.09779	0.11052	0.12341	0.13148	0.14027	0.17511	0.21005	0.22094	0.22094	0.22094	0.22094	0.22094	0.22094
0.00725	0.01275	0.04699	0.05302	0.06026	0.06392	0.07397	0.08422	0.09811	0.10997	0.12459	0.13295	0.14814	0.17419	0.23353	0.23353	0.23353	0.23353	0.23353	0.23353
0.00763	0.0241	0.02587	0.05821	0.06868	0.07677	0.08909	0.09128	0.10369	0.11987	0.12482	0.15326	0.1552	0.1795	0.19817	0.19817	0.19817	0.19817	0.19817	0.19817
