#	Datafile	created	in	R																																		
#cur_yr																																						
2019																																						
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																			
#	of	data	indexing	to	work																																	
1963																																						
#endyr																																						
2021																																						
#N_data_sets																																						
3																																						
#N_yrs_data_sets																																						
39																																						
12																																						
17																																						
#yrs_data																																						
#Fshry																																						
1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
#survey_1																																						
2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018																											
#survey_2																																						
1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006																						
#Age_st																																						
1																																						
#Age_end																																						
17																																						
#fishery																																						
0.0092	0.0165	0.0238	0.0274	0.0303	0.0359	0.0387	0.0408	0.0458	0.0486	0.0503	0.0526	0.0567	0.0571	0.0682	0.0559	0.0662																						
0.0128	0.0204	0.0251	0.0286	0.0322	0.0352	0.0368	0.0385	0.0438	0.0461	0.0463	0.0474	0.0515	0.0534	0.0572	0.0626	0.0658																						
0.0096	0.0182	0.0259	0.0292	0.0326	0.0403	0.0429	0.0455	0.0476	0.0494	0.0486	0.0598	0.0555	0.059	0.0704	0.0717	0.0711																						
0.0134	0.0193	0.0249	0.0294	0.0317	0.0366	0.0394	0.043	0.0444	0.0471	0.0522	0.0508	0.0554	0.0525	0.0544	0.0574	0.0716																						
0.0121	0.0174	0.0227	0.0283	0.0319	0.0348	0.0382	0.0449	0.0484	0.0516	0.0531	0.0539	0.0645	0.066	0.0615	0.0721	0.0772																						
0.0104	0.0176	0.0232	0.0273	0.0319	0.0381	0.039	0.0424	0.0481	0.0534	0.0557	0.0546	0.059	0.0615	0.0666	0.0664	0.0697																						
0.0102	0.0175	0.0244	0.0278	0.0321	0.0365	0.0367	0.0409	0.0465	0.0503	0.0611	0.0491	0.0577	0.0645	0.062	0.0565	0.0694																						
#Survey_1																																						
0.013	0.018	0.023	0.024	0.027	0.032	0.035	0.039	0.041	0.043	0.044	0.047	0.049	0.053	0.059	0.058	0.053																						
0.016	0.02	0.023	0.025	0.028	0.031	0.033	0.038	0.043	0.046	0.051	0.053	0.056	0.053	0.06	0.055	0.061																						
0.015	0.02	0.024	0.024	0.029	0.033	0.034	0.037	0.042	0.044	0.046	0.047	0.052	0.056	0.053	0.055	0.054																						
0.014	0.02	0.024	0.026	0.028	0.032	0.037	0.038	0.04	0.041	0.047	0.05	0.053	0.052	0.052	0.054	0.053																						
0.014	0.02	0.024	0.028	0.03	0.032	0.036	0.04	0.038	0.043	0.045	0.051	0.05	0.052	0.046	0.051	0.057																						
0.015	0.021	0.025	0.028	0.03	0.034	0.035	0.039	0.041	0.043	0.043	0.052	0.07	0.054	0.051	0.046	0.056																						
0.016	0.022	0.026	0.029	0.033	0.035	0.035	0.037	0.042	0.044	0.044	0.045	0.046	0.048	0.052	0.053	0.052																						
0.016	0.023	0.028	0.03	0.035	0.038	0.039	0.04	0.042	0.05	0.045	0.048	0.044	0.051	0.05	0.049	0.046																						
0.014	0.021	0.025	0.029	0.034	0.035	0.036	0.039	0.041	0.043	0.044	0.048	0.051	0.046	0.057	0.049	0.062																						
0.016	0.022	0.026	0.03	0.034	0.037	0.04	0.044	0.047	0.046	0.05	0.048	0.049	0.051	0.058	0.049	0.061																						
0.017	0.023	0.028	0.03	0.034	0.037	0.04	0.044	0.047	0.047	0.048	0.051	0.051	0.056	0.053	0.058	0.059																						
0.015	0.022	0.026	0.03	0.033	0.035	0.04	0.042	0.044	0.047	0.049	0.048	0.048	0.057	0.055	0.052	0.058																						
#Survey_1																																						
0.01	0.019	0.032	0.039	0.046	0.051	0.059	0.061	0.07	0.092	0.135	0.101	0.101	0.101	0.094	0.081	0.112																						
0.012	0.021	0.027	0.035	0.042	0.048	0.054	0.058	0.062	0.068	0.107	0.069	0.067	0.096	0.08	0.09	0.108																						
0.012	0.02	0.027	0.03	0.04	0.043	0.048	0.055	0.062	0.058	0.064	0.061	0.063	0.079	0.072	0.086	0.108																						
0.011	0.019	0.025	0.03	0.033	0.041	0.051	0.053	0.064	0.065	0.064	0.085	0.07	0.12	0.095	0.109	0.104																						
0.012	0.021	0.026	0.031	0.034	0.038	0.047	0.055	0.063	0.064	0.07	0.085	0.07	0.124	0.085	0.093	0.084																						
0.009	0.019	0.027	0.03	0.035	0.038	0.042	0.05	0.057	0.061	0.071	0.109	0.076	0.127	0.102	0.093	0.084																						
0.011	0.017	0.025	0.031	0.034	0.039	0.044	0.049	0.055	0.061	0.086	0.067	0.075	0.11	0.087	0.076	0.084																						
0.009	0.016	0.022	0.027	0.031	0.036	0.04	0.045	0.065	0.043	0.074	0.068	0.092	0.079	0.092	0.088	0.063																						
0.008	0.013	0.02	0.024	0.032	0.041	0.048	0.06	0.054	0.041	0.077	0.067	0.092	0.079	0.11	0.1	0.09																						
0.008	0.013	0.021	0.023	0.031	0.042	0.052	0.038	0.06	0.062	0.063	0.065	0.092	0.047	0.121	0.124	0.09																						
0.008	0.014	0.021	0.024	0.029	0.041	0.047	0.047	0.086	0.069	0.085	0.083	0.108	0.103	0.078	0.08	0.118																						
0.009	0.015	0.021	0.024	0.028	0.041	0.041	0.055	0.048	0.047	0.07	0.061	0.068	0.097	0.078	0.077	0.088																						
0.008	0.016	0.022	0.029	0.028	0.036	0.038	0.042	0.051	0.052	0.053	0.045	0.055	0.09	0.088	0.064	0.093																						
0.008	0.016	0.022	0.026	0.024	0.039	0.041	0.046	0.043	0.058	0.058	0.054	0.064	0.082	0.085	0.071	0.058																						
0.007	0.014	0.021	0.024	0.02	0.041	0.045	0.049	0.062	0.065	0.063	0.064	0.073	0.074	0.063	0.072	0.073																						
0.007	0.013	0.018	0.027	0.028	0.027	0.057	0.064	0.049	0.058	0.062	0.07	0.064	0.066	0.055	0.058	0.057																						
0.008	0.015	0.015	0.022	0.027	0.031	0.042	0.041	0.04	0.041	0.062	0.05	0.064	0.058	0.051	0.048	0.058																						
#fishery	0.1																																					
0.0011	0.00206	0.00257	0.00323	0.00354	0.00375	0.00401	0.0045	0.00503	0.00557	0.00582	0.00571	0.00774	0.00615	0.0093	0.0073	0.0073																						
0.00124	0.00203	0.00272	0.00339	0.00406	0.00419	0.0046	0.00485	0.00542	0.00588	0.00684	0.00683	0.00648	0.01098	0.00745	0.00685	0.00685																						
0.00101	0.00188	0.00278	0.00351	0.00391	0.00433	0.00447	0.00503	0.00521	0.00595	0.00608	0.00674	0.00795	0.00725	0.00842	0.00685	0.009																						
0.0012	0.00211	0.0032	0.0038	0.00439	0.00503	0.00522	0.00561	0.00629	0.00626	0.00695	0.00812	0.00924	0.01033	0.01063	0.00685	0.00923																						
0.00131	0.00222	0.00321	0.004	0.00445	0.0051	0.00583	0.00605	0.00592	0.00631	0.00668	0.00818	0.00739	0.00722	0.0115	0.0064	0.00923																						
0.001	0.00204	0.003	0.00382	0.00421	0.00465	0.00519	0.00563	0.00576	0.00595	0.00635	0.00717	0.00755	0.00713	0.00804	0.00677	0.00945																						
0.00118	0.00183	0.00272	0.00349	0.00398	0.00446	0.00484	0.00504	0.00594	0.00577	0.00627	0.00634	0.00682	0.00814	0.00633	0.00714	0.00757																						
0.00101	0.0022	0.00285	0.00348	0.00417	0.00463	0.00513	0.00569	0.00602	0.00611	0.00664	0.00672	0.00664	0.00741	0.009	0.01095	0.01265																						
0.00113	0.00205	0.00319	0.00369	0.00421	0.00479	0.00539	0.00611	0.0062	0.00696	0.00716	0.00784	0.0077	0.00835	0.00904	0.00815	0.01538																						
0.00124	0.00236	0.00333	0.00416	0.00465	0.00517	0.00556	0.00607	0.00672	0.00645	0.0071	0.00757	0.00808	0.00817	0.01167	0.0071	0.0181																						
0.00098	0.00194	0.00322	0.00388	0.00452	0.00507	0.0057	0.00601	0.00685	0.00715	0.00752	0.00934	0.0085	0.00788	0.00944	0.00806	0.0112																						
0.00122	0.00215	0.00276	0.00355	0.0041	0.0048	0.00525	0.0055	0.00586	0.00638	0.00674	0.00706	0.00721	0.00797	0.00799	0.00902	0.0108																						
0.00121	0.002	0.00272	0.00304	0.00398	0.00436	0.00499	0.00538	0.0058	0.00648	0.00638	0.00715	0.00648	0.0087	0.0072	0.00863	0.0108																						
0.00109	0.00193	0.00274	0.00311	0.0034	0.00439	0.00503	0.00547	0.00596	0.00635	0.00665	0.00708	0.00788	0.0093	0.00952	0.0109	0.0104																						
0.00117	0.0021	0.00275	0.00326	0.00357	0.00395	0.00493	0.00557	0.0062	0.0069	0.00736	0.00699	0.00765	0.00455	0.00845	0.00925	0.00835																						
0.00092	0.0019	0.00271	0.00304	0.00352	0.00386	0.00431	0.00522	0.00616	0.00679	0.00764	0.0094	0.00873	0.0104	0.01023	0.00925	0.00835																						
0.00108	0.0017	0.00257	0.00317	0.00344	0.00397	0.0044	0.00494	0.00578	0.00643	0.00687	0.00758	0.007	0.0098	0.0087	0.0076	0.00835																						
0.00094	0.00157	0.00231	0.00292	0.00339	0.0037	0.00427	0.00472	0.00544	0.00637	0.0069	0.00711	0.00906	0.0086	0.0092	0.00881	0.0063																						
0.00078	0.00135	0.00208	0.00279	0.00342	0.00407	0.00444	0.00556	0.00581	0.00666	0.00815	0.00826	0.01116	0.00968	0.01101	0.01002	0.00903																						
0.00079	0.00134	0.00207	0.00264	0.00329	0.00414	0.0046	0.00535	0.00573	0.00626	0.00737	0.00793	0.0086	0.01033	0.01206	0.01243	0.00903																						
0.00077	0.00143	0.00201	0.0025	0.00293	0.00344	0.00388	0.00411	0.00462	0.00563	0.00553	0.00654	0.00709	0.00687	0.00782	0.008	0.01176																						
0.00086	0.00154	0.00221	0.00267	0.00289	0.00326	0.00395	0.00421	0.00471	0.00475	0.00576	0.00616	0.00619	0.00682	0.00776	0.00765	0.0088																						
0.00081	0.00158	0.00225	0.00269	0.00306	0.0035	0.00387	0.00439	0.00477	0.0054	0.00582	0.0058	0.00664	0.00747	0.00881	0.00639	0.00934																						
0.00077	0.00161	0.00233	0.00267	0.00305	0.00345	0.00401	0.0042	0.00492	0.00567	0.0061	0.00619	0.00616	0.00712	0.00852	0.00709	0.00582																						
0.00067	0.00138	0.00204	0.00259	0.003	0.00371	0.00389	0.00433	0.0049	0.0053	0.00596	0.00593	0.0064	0.00727	0.00629	0.00722	0.00734																						
0.00075	0.0013	0.00195	0.00248	0.00295	0.00318	0.00386	0.00388	0.00426	0.00446	0.00475	0.00504	0.00445	0.00565	0.00553	0.00583	0.00569																						
0.00082	0.0015	0.00194	0.00231	0.00267	0.00326	0.0035	0.0038	0.00399	0.00433	0.0043	0.00448	0.00506	0.00544	0.00509	0.00477	0.0058																						
0.00074	0.00148	0.0021	0.00248	0.00271	0.00311	0.00355	0.00392	0.00426	0.0044	0.0048	0.00496	0.00522	0.00516	0.00636	0.00557	0.00649																						
0.0009	0.00147	0.0021	0.00233	0.00282	0.00285	0.00334	0.00376	0.00404	0.00457	0.00535	0.00474	0.00538	0.00618	0.00514	0.00735	0.00806																						
0.00099	0.00158	0.00206	0.00239	0.00302	0.00311	0.00347	0.00374	0.00411	0.00441	0.00519	0.00508	0.00567	0.00563	0.00561	0.00584	0.00651																						
0.00082	0.00165	0.00225	0.00259	0.00288	0.00349	0.00334	0.00394	0.0044	0.00431	0.00502	0.0058	0.00549	0.00551	0.00673	0.00522	0.0058																						
0.00089	0.0016	0.0023	0.00268	0.00293	0.00327	0.00363	0.00388	0.00421	0.00427	0.0048	0.00495	0.00504	0.00598	0.00528	0.00601	0.0061																						
