#	Datafile	created	in	R																																																				
#cur_yr																																																								
2015																																																								
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																																					
#	of	data	indexing	to	work																																																			
1961																																																								
#endyr																																																								
2017																																																								
#N_data_sets																																																								
1																																																								
#N_yrs_data_sets																																																								
55																																																								
																																																								
#yrs_data																																																								
#Fshry																																																								
1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015		
#Age_st																																																								
3																																																								
#Age_end																																																								
15																																																								
#fishery																																																								
1.374	1.712	1.905	2.396	2.845	4.124	5.256	5.526	6.956	8.03	8.349	8.083	10.262																																												
1.477	1.606	2.077	2.36	2.977	3.48	4.851	5.268	6.523	4.727	8.807	8.002	10.427																																												
1.33	1.59	1.785	2.586	3.059	3.871	4.374	5.565	6.703	5.776	7.745	7.773	10																																												
1.142	1.46	1.652	1.969	3.13	3.589	4.513	5.138	6.422	8.026	4.759	11.357	10																																												
1.123	1.304	1.614	1.977	2.532	3.97	4.834	5.499	6.099	6.987	5.961	9.044	10																																												
1.143	1.333	1.45	1.789	2.56	3.159	4.154	5.167	6.015	6.186	7.056	9.391	10																																												
1.148	1.325	1.516	1.672	2.087	2.975	3.79	6.087	6.134	6.651	7.424	9.113	10																																												
1.126	1.218	1.462	1.79	2.035	2.436	3.861	4.222	5.149	6.437	6.905	5.365	10																																												
1.058	1.391	1.413	1.824	2.361	2.682	3.278	4.104	4.998	6.331	7.844	7.971	10																																												
1.146	1.312	1.672	1.816	2.395	2.902	3.1	3.728	4.769	6.072	6.451	7.96	10																																												
0.938	1.485	1.893	2.411	2.601	3.147	3.634	4.024	5.014	5.828	6.308	9.011	10																																												
1.429	1.706	2.166	2.551	3.172	3.411	3.972	4.352	5.083	4.941	5.305	9.011	10																																												
1.111	1.693	2.253	2.918	3.609	4.204	4.531	5.087	5.416	6.087	6.763	7.916	10																																												
1.029	1.334	1.626	2.709	3.785	4.448	4.799	5.207	5.562	6.018	7.143	6.247	10																																												
1.208	1.466	1.778	2.069	3.553	4.292	5.191	5.742	5.919	6.417	7.941	7.154	6.963																																												
1.369	1.724	2.163	2.868	3.325	5.903	5.899	6.877	6.784	7.467	7.121	11.31	10																																												
0.932	1.555	2.091	3.17	4.208	5.032	6.715	7.858	7.428	7.565	7.629	9.87	8.613																																												
# sd																																																								
0.143	0.2302	0.3348	0.4287	0.5128	0.6155	0.706	0.7265	0.7497	0.8198	0.9154	0.96	1																																												
0.1273	0.2045	0.3293	0.4191	0.5146	0.5655	0.6469	0.6706	0.715	0.7903	0.8449	0.8654	1																																												
0.128	0.2197	0.3212	0.4568	0.5056	0.5932	0.6259	0.8	0.7265	0.8551	0.902	0.9	1																																												
0.1175	0.2055	0.3266	0.4255	0.5038	0.5694	0.6662	0.6837	0.7686	0.8348	0.8123	0.9154	1																																												
0.1181	0.2125	0.2941	0.4096	0.4878	0.5932	0.6321	0.7288	0.8074	0.7878	0.9479	0.9617	1																																												
0.1361	0.2026	0.3055	0.3658	0.4585	0.552	0.6837	0.7265	0.7662	0.8123	1.021	0.9728	1																																												
0.1273	0.178	0.2534	0.3572	0.4368	0.5313	0.5812	0.6554	0.7806	0.7591	0.8551	0.7878	1																																												
0.1302	0.1737	0.2036	0.312	0.4049	0.5183	0.6238	0.752	0.8049	0.8654	0.8298	0.9234	1																																												
0.1188	0.1667	0.2302	0.2853	0.3673	0.5002	0.5714	0.6405	0.6554	0.7591	0.7951	0.8373	1																																												
0.1244	0.1445	0.2249	0.2853	0.3515	0.4418	0.5444	0.5733	0.6662	0.731	0.9047	0.9073	1																																												
0.1101	0.1316	0.1818	0.2978	0.3702	0.4271	0.5388	0.5972	0.649	0.7173	0.738	0.9288	1																																												
0.1043	0.1485	0.2055	0.2829	0.3791	0.4175	0.4808	0.5294	0.6948	0.6727	0.7591	0.9315	1																																												
0.1088	0.1461	0.1582	0.2249	0.3687	0.4385	0.5128	0.5276	0.6727	0.7311	0.8148	0.7951	1																																												
0.143	0.1525	0.2207	0.25	0.312	0.4601	0.5559	0.5714	0.6259	0.6881	0.7758	0.91	1																																												
0.1114	0.1658	0.226	0.312	0.3557	0.4096	0.5128	0.6094	0.7196	0.7782	0.8602	0.881	1																																												
0.1088	0.1676	0.2878	0.3081	0.4287	0.4352	0.479	0.5912	0.6619	0.6619	0.7311	0.7806	1																																												
0.1223	0.1641	0.266	0.379	0.4239	0.5597	0.535	0.5912	0.6837	0.6727	0.6948	0.8424	1																																												
0.1493	0.2324	0.3068	0.3746	0.4913	0.4368	0.5276	0.5832	0.6053	0.6706	0.7686	0.7219	1																																												
0.122	0.188	0.262	0.34	0.418	0.495	0.569	0.638	0.702	0.726	0.815	0.864	1																																												
